class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
Erasing,albumentations/augmentations/dropout/coarse_dropout.py,4,2,0,1.0,45,13,184,28,16.31,2,0,0
ConstrainedCoarseDropout,albumentations/augmentations/dropout/coarse_dropout.py,5,3,0,1.0,44,6,413,196,101.5,2,0,0
InitSchema,albumentations/augmentations/dropout/coarse_dropout.py,3,0,0,1.0,11,0,0,0,0,0,0,0
InitSchema,albumentations/augmentations/dropout/coarse_dropout.py,2,0,0,1.0,9,0,0,0,0,0,0,0
InitSchema,albumentations/augmentations/dropout/coarse_dropout.py,5,0,0,1.0,15,0,0,0,0,0,0,0
ChannelDropout,albumentations/augmentations/dropout/channel_dropout.py,5,3,0,0.667,30,30,183,75,8.6,3,0,0
InitSchema,albumentations/augmentations/dropout/channel_dropout.py,2,0,0,1.0,9,0,0,0,0,0,0,0
GridDropout,albumentations/augmentations/dropout/grid_dropout.py,4,2,0,1.0,31,35,392,247,18.26,4,0,0
InitSchema,albumentations/augmentations/dropout/grid_dropout.py,5,0,0,1.0,15,0,0,0,0,0,0,0
BaseDropout,albumentations/augmentations/dropout/transforms.py,14,11,19,0.289,43,18,251,63,17.44,3,0,0
PixelDropout,albumentations/augmentations/dropout/transforms.py,9,6,0,0.833,41,4,253,13,66.5,1,0,0
InitSchema,albumentations/augmentations/dropout/transforms.py,2,0,0,1.0,6,0,0,0,0,0,0,0
InitSchema,albumentations/augmentations/dropout/transforms.py,4,0,0,1.0,9,0,0,0,0,0,0,0
XYMasking,albumentations/augmentations/dropout/xy_masking.py,7,5,2,0.333,49,36,377,214,16.42,2,0,0
InitSchema,albumentations/augmentations/dropout/xy_masking.py,7,1,0,1.0,18,0,0,0,0,0,0,0
MaskDropout,albumentations/augmentations/dropout/mask_dropout.py,10,7,7,0.267,50,34,372,123,14.56,4,0,0
InitSchema,albumentations/augmentations/dropout/mask_dropout.py,3,0,0,1.0,7,0,0,0,0,0,0,0
